thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.15666666666666668],[0.33666666666666667],[1],[0],[0],[1.8846286090010835],['target'],0,0,0,0,0.062484051999490475,,5,0.04088838800089434,0.062484051999490475,0.062484051999490475,0.04058486599751632,1.9259990450009354,[0.15666666666666668],[0.33666666666666667],[1],[0],[0],[1.8846286090010835],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
1,0,1,[-0.13],[-0.21833333333333332],[1],[0],[0],[1.26102569700015],['target'],1,0,1,0,1.9544039579996024,,5,1.942372476998571,1.9544039579996024,1.9544039579996024,0.016166049001185456,3.2038930550006626,[-0.13],[-0.21833333333333332],[1],[0],[0],[1.26102569700015],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
2,0,2,[0.44166666666666665],[-0.39],[1],[0],[0],[2.16717051500018],['target'],2,0,2,0,3.2477190509998763,,10,3.2330123009996896,3.2477190509998763,3.2477190509998763,0.028924168000230566,5.400755464001122,[0.44166666666666665],[-0.39],[1],[0],[0],[2.16717051500018],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
3,0,3,[-0.29333333333333333],[-0.2866666666666667],[1],[0],[0],[4.072226131000207],['target'],3,0,3,0,5.427682736000861,,5,5.417674135998823,5.427682736000861,5.427682736000861,0.016745191998779774,9.490345136000542,[-0.29333333333333333],[-0.2866666666666667],[1],[0],[0],[4.072226131000207],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
4,0,4,[-0.3933333333333333],[0.025],[1],[0],[0],[1.7228086490031274],['target'],4,0,4,0,9.53286405399922,,10,9.517723649998516,9.53286405399922,9.53286405399922,0.027246923997154227,11.240932019001775,[-0.3933333333333333],[0.025],[1],[0],[0],[1.7228086490031274],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
5,0,5,[0.37833333333333335],[-0.18166666666666667],[1],[0],[0],[1.5397556040006748],['target'],5,0,5,0,11.266457650999655,,5,11.255839886998729,11.266457650999655,11.266457650999655,0.01474993500232813,12.79602368400083,[0.37833333333333335],[-0.18166666666666667],[1],[0],[0],[1.5397556040006748],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
6,0,6,[0.30666666666666664],[-0.45666666666666667],[1],[0],[0],[3.289866275001259],['target'],6,0,6,0,12.839037276000454,,10,12.824122055000771,12.839037276000454,12.839037276000454,0.027969293001660844,16.114395447999414,[0.30666666666666664],[-0.45666666666666667],[1],[0],[0],[3.289866275001259],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
7,0,7,[0.13333333333333333],[-0.13],[1],[0],[0],[1.874093416998221],['target'],7,0,7,0,16.140411604999827,,5,16.130030986998463,16.140411604999827,16.140411604999827,0.015478264998819213,18.004568658001517,[0.13333333333333333],[-0.13],[1],[0],[0],[1.874093416998221],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
8,0,8,[-0.3883333333333333],[-0.4716666666666667],[1],[0],[0],[2.2974378229992],['target'],8,0,8,0,18.028621135999856,,5,18.0190638210006,18.028621135999856,18.028621135999856,0.014361413999722572,20.316906233998452,[-0.3883333333333333],[-0.4716666666666667],[1],[0],[0],[2.2974378229992],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
9,0,9,[-0.043333333333333335],[0.49166666666666664],[1],[0],[0],[2.125863830002345],['target'],9,0,9,0,20.34155268199902,,5,20.331677012,20.34155268199902,20.34155268199902,0.014643075999629218,22.458118307000404,[-0.043333333333333335],[0.49166666666666664],[1],[0],[0],[2.125863830002345],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
10,0,10,[-0.26],[0.32666666666666666],[1],[0],[0],[2.5755578320022323],['target'],10,0,10,0,22.50054123099835,,10,22.48563342000125,22.50054123099835,22.50054123099835,0.027338419000443537,25.06165879800028,[-0.26],[0.32666666666666666],[1],[0],[0],[2.5755578320022323],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
11,0,11,[0.43],[0.205],[1],[0],[0],[1.5859401029993023],['target'],11,0,11,0,25.104563685999892,,10,25.08993115499834,25.104563685999892,25.104563685999892,0.028080889998818748,26.676780678000796,[0.43],[0.205],[1],[0],[0],[1.5859401029993023],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
12,0,12,[-0.1],[0.09666666666666666],[1],[0],[0],[2.183710228000564],['target'],12,0,12,0,26.702486674999818,,5,26.69155527700059,26.702486674999818,26.702486674999818,0.014511198998661712,28.875671248999424,[-0.1],[0.09666666666666666],[1],[0],[0],[2.183710228000564],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
13,0,13,[-0.145],[0.22833333333333333],[1],[0],[0],[1.4529601479989651],['target'],13,0,13,0,28.901814761000423,,5,28.891046173001087,28.901814761000423,28.901814761000423,0.015240472999721533,30.344521522998548,[-0.145],[0.22833333333333333],[1],[0],[0],[1.4529601479989651],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
14,0,14,[-0.08166666666666667],[0.11666666666666667],[1],[0],[0],[1.662494316999073],['target'],14,0,14,0,30.391291436000756,,10,30.375426336999226,30.391291436000756,30.391291436000756,0.030745680000109132,32.03845761800039,[-0.08166666666666667],[0.11666666666666667],[1],[0],[0],[1.662494316999073],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
15,0,15,[-0.3616666666666667],[0.49166666666666664],[1],[0],[0],[1.7362276380008552],['target'],15,0,15,0,32.0820298869985,,10,32.06704683100179,32.0820298869985,32.0820298869985,0.028395719000400277,33.80368560699935,[-0.3616666666666667],[0.49166666666666664],[1],[0],[0],[1.7362276380008552],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
16,0,16,[-0.1],[0.415],[1],[0],[0],[1.6282392160028394],['target'],16,0,16,0,33.84787503899861,,10,33.832808315000875,33.84787503899861,33.84787503899861,0.02893992899771547,35.461437208999996,[-0.1],[0.415],[1],[0],[0],[1.6282392160028394],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
17,0,17,[0.1],[0.058333333333333334],[1],[0],[0],[1.2811180829994555],['target'],17,0,17,0,35.50511013600044,,10,35.48959064099836,35.50511013600044,35.50511013600044,0.02801286700196215,36.77117709700178,[0.1],[0.058333333333333334],[1],[0],[0],[1.2811180829994555],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
18,0,18,[-0.045],[0.3283333333333333],[1],[0],[0],[1.178710134998255],['target'],18,0,18,0,36.81466807700053,,10,36.79943190999984,36.81466807700053,36.81466807700053,0.02809475599860889,37.97851466700013,[-0.045],[0.3283333333333333],[1],[0],[0],[1.178710134998255],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
19,0,19,[0.215],[0.45],[1],[0],[0],[6.927228874999855],['target'],19,0,19,0,38.02284561999841,,10,38.007337148999795,38.02284561999841,38.02284561999841,0.02866093199918396,44.93523886299954,[0.215],[0.45],[1],[0],[0],[6.927228874999855],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
20,0,20,[0.2966666666666667],[-0.3433333333333333],[1],[0],[0],[2.126021148000291],['target'],20,0,20,0,44.97948565700062,,10,44.96446782899875,44.97948565700062,44.97948565700062,0.028953000000910833,47.0908665930001,[0.2966666666666667],[-0.3433333333333333],[1],[0],[0],[2.126021148000291],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
21,0,21,[-0.016666666666666666],[-0.05333333333333334],[1],[0],[0],[1.4098870220004756],['target'],21,0,21,0,47.11771605800095,,5,47.10631641800137,47.11771605800095,47.11771605800095,0.015295454999431968,48.516598047001025,[-0.016666666666666666],[-0.05333333333333334],[1],[0],[0],[1.4098870220004756],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
22,0,22,[0.09833333333333333],[-0.15166666666666667],[1],[0],[0],[1.5184113329996762],['target'],22,0,22,0,48.541948303001845,,5,48.53031920899957,48.541948303001845,48.541948303001845,0.013596052998764208,50.049473471000965,[0.09833333333333333],[-0.15166666666666667],[1],[0],[0],[1.5184113329996762],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
23,0,23,[0.16666666666666666],[-0.075],[1],[0],[0],[1.1021932139992714],['target'],23,0,23,0,50.094975846001034,,10,50.079692551000335,50.094975846001034,50.094975846001034,0.029833333999704337,51.1825234550015,[0.16666666666666666],[-0.075],[1],[0],[0],[1.1021932139992714],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
24,0,24,[0.27],[-0.16],[1],[0],[0],[1.6479018439968058],['target'],24,0,24,0,51.225295346001076,,10,51.209688618000655,51.225295346001076,51.225295346001076,0.0269809349993011,52.85805255100058,[0.27],[-0.16],[1],[0],[0],[1.6479018439968058],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
25,0,25,[0.3283333333333333],[0.16833333333333333],[1],[0],[0],[5.693001989999175],['target'],25,0,25,0,52.90189884999927,,10,52.88615250300063,52.90189884999927,52.90189884999927,0.02797728299992741,58.57970179100084,[0.3283333333333333],[0.16833333333333333],[1],[0],[0],[5.693001989999175],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
26,0,26,[-0.32666666666666666],[0.058333333333333334],[1],[0],[0],[1.7948465740009851],['target'],26,0,26,0,58.62235842999871,,10,58.607561660999636,58.62235842999871,58.62235842999871,0.02769681700010551,60.40292838700043,[-0.32666666666666666],[0.058333333333333334],[1],[0],[0],[1.7948465740009851],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
27,0,27,[0.3983333333333333],[-0.155],[1],[0],[0],[1.640423404998728],['target'],27,0,27,0,60.44744457200068,,10,60.431633872998646,60.44744457200068,60.44744457200068,0.028507037997769658,62.07252083899948,[0.3983333333333333],[-0.155],[1],[0],[0],[1.640423404998728],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
28,0,28,[0.3283333333333333],[-0.18166666666666667],[1],[0],[0],[1.3124449019996973],['target'],28,0,28,0,62.097578644999885,,5,62.08670778099986,62.097578644999885,62.097578644999885,0.014021028997376561,63.39958979500079,[0.3283333333333333],[-0.18166666666666667],[1],[0],[0],[1.3124449019996973],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
29,0,29,[0.3],[-0.125],[1],[0],[0],[1.5085163170006126],['target'],29,0,29,0,63.44362561299931,,10,63.42807490500127,63.44362561299931,63.44362561299931,0.02833869000096456,64.9370258150011,[0.3],[-0.125],[1],[0],[0],[1.5085163170006126],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
30,0,30,[0.295],[-0.06],[1],[0],[0],[1.2069371830002638],['target'],30,0,30,0,64.98097469799905,,10,64.96547308200024,64.98097469799905,64.98097469799905,0.02828690699971048,66.17280936500174,[0.295],[-0.06],[1],[0],[0],[1.2069371830002638],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
31,0,31,[0.22166666666666668],[-0.06666666666666667],[1],[0],[0],[1.187751435998507],['target'],31,0,31,0,66.21601214900147,,10,66.20184698600133,66.21601214900147,66.21601214900147,0.028880362002382753,67.38998273100151,[0.22166666666666668],[-0.06666666666666667],[1],[0],[0],[1.187751435998507],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
32,0,32,[-0.22],[0.25666666666666665],[1],[0],[0],[2.0440122120016895],['target'],32,0,32,0,67.4331998230009,,10,67.41768577900075,67.4331998230009,67.4331998230009,0.027538807000382803,69.46212282700071,[-0.22],[0.25666666666666665],[1],[0],[0],[2.0440122120016895],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
33,0,33,[-0.20166666666666666],[0.3416666666666667],[1],[0],[0],[2.9535595970010036],['target'],33,0,33,0,69.50511775799896,,10,69.49068022899883,69.50511775799896,69.50511775799896,0.02839951799978735,72.44466414300041,[-0.20166666666666666],[0.3416666666666667],[1],[0],[0],[2.9535595970010036],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
34,0,34,[-0.3383333333333333],[-0.3016666666666667],[1],[0],[0],[1.7090439509993303],['target'],34,0,34,0,72.49326877799831,,10,72.47725636399991,72.49326877799831,72.49326877799831,0.03237449899825151,74.18666922600096,[-0.3383333333333333],[-0.3016666666666667],[1],[0],[0],[1.7090439509993303],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
35,0,35,[0.4633333333333333],[-0.20666666666666667],[1],[0],[0],[1.919902636000188],['target'],35,0,35,0,74.2299934779985,,10,74.21388322400162,74.2299934779985,74.2299934779985,0.027048760999605292,76.13416895000046,[0.4633333333333333],[-0.20666666666666667],[1],[0],[0],[1.919902636000188],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
36,0,36,[-0.245],[-0.008333333333333333],[1],[0],[0],[1.1766074789993581],['target'],36,0,36,0,76.15911874000085,,5,76.14835262699853,76.15911874000085,76.15911874000085,0.014021741997567005,77.3254093430005,[-0.245],[-0.008333333333333333],[1],[0],[0],[1.1766074789993581],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
37,0,37,[0.16],[-0.005],[1],[0],[0],[1.3771365499997046],['target'],37,0,37,0,77.35013651500049,,5,77.3393725499991,77.35013651500049,77.35013651500049,0.01382351099891821,78.71714689700093,[0.16],[-0.005],[1],[0],[0],[1.3771365499997046],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
38,0,38,[-0.3016666666666667],[-0.015],[1],[0],[0],[1.365622646000702],['target'],38,0,38,0,78.74209860400151,,5,78.73230479799895,78.74209860400151,78.74209860400151,0.014946729002986103,80.09839526900032,[-0.3016666666666667],[-0.015],[1],[0],[0],[1.365622646000702],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
39,0,39,[0.38],[0.33166666666666667],[1],[0],[0],[1.4110915470009786],['target'],39,0,39,0,80.12377876300161,,5,80.11270649300059,80.12377876300161,80.12377876300161,0.014181135000399081,81.52433436399951,[0.38],[0.33166666666666667],[1],[0],[0],[1.4110915470009786],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
40,0,40,[0.07333333333333333],[-0.08166666666666667],[1],[0],[0],[1.364781544001744],['target'],40,0,40,0,81.57158111800163,,5,81.56091251999896,81.57158111800163,81.57158111800163,0.03644490900114761,82.92617376699855,[0.07333333333333333],[-0.08166666666666667],[1],[0],[0],[1.364781544001744],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
41,0,41,[-0.415],[-0.2833333333333333],[1],[0],[0],[1.4459736339995288],['target'],41,0,41,0,82.95184077399972,,5,82.94126325600155,82.95184077399972,82.95184077399972,0.01496381800097879,84.3877046580019,[-0.415],[-0.2833333333333333],[1],[0],[0],[1.4459736339995288],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
42,0,42,[0.4483333333333333],[-0.17833333333333334],[1],[0],[0],[4.40307399899757],['target'],42,0,42,0,84.41249494500153,,5,84.40224425500128,84.41249494500153,84.41249494500153,0.014405016998352949,88.80578717200115,[0.4483333333333333],[-0.17833333333333334],[1],[0],[0],[4.40307399899757],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
43,0,43,[-0.17833333333333334],[-0.32],[1],[0],[0],[1.6884532340009173],['target'],43,0,43,0,88.83144838799853,,5,88.82134805399983,88.83144838799853,88.83144838799853,0.015416690999700222,90.51017690899971,[-0.17833333333333334],[-0.32],[1],[0],[0],[1.6884532340009173],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
44,0,44,[-0.06166666666666667],[0.41833333333333333],[1],[0],[0],[1.6126808340013667],['target'],44,0,44,0,90.55289287599953,,10,90.53825187799885,90.55289287599953,90.55289287599953,0.027947804002906196,92.15147051700114,[-0.06166666666666667],[0.41833333333333333],[1],[0],[0],[1.6126808340013667],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
45,0,45,[-0.058333333333333334],[0.2833333333333333],[1],[0],[0],[1.053734238998004],['target'],45,0,45,0,92.19400938800027,,10,92.17934600700028,92.19400938800027,92.19400938800027,0.027682489999278914,93.23369139400165,[-0.058333333333333334],[0.2833333333333333],[1],[0],[0],[1.053734238998004],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
46,0,46,[0.10333333333333333],[-0.38166666666666665],[1],[0],[0],[2.0552868230006425],['target'],46,0,46,0,93.27788381999926,,10,93.26225926299958,93.27788381999926,93.27788381999926,0.0283446540015575,95.318110264001,[0.10333333333333333],[-0.38166666666666665],[1],[0],[0],[2.0552868230006425],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
47,0,47,[0.24666666666666667],[0.07],[1],[0],[0],[1.2100402629985183],['target'],47,0,47,0,95.34375117200034,,5,95.33277011700193,95.34375117200034,95.34375117200034,0.014503859001706587,96.54323118200045,[0.24666666666666667],[0.07],[1],[0],[0],[1.2100402629985183],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
48,0,48,[-0.375],[0.11666666666666667],[1],[0],[0],[1.3053174659980868],['target'],48,0,48,0,96.58752238099987,,10,96.57162504499865,96.58752238099987,96.58752238099987,0.028260491002583876,97.87744929900146,[-0.375],[0.11666666666666667],[1],[0],[0],[1.3053174659980868],['target'],775551,001,2024-10-09_18h32.51.122,VISUALSEARCH,2024.2.1,42.04077773836542,2024-10-09 18h33.04.014668 +0530,
