stim1,stim2,stim3,correctAns,difficulty,thisN,thisTrialN,thisRepN,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,instruction_text.started,start_key.started,instructions.stopped,start_key.keys,start_key.rt,start_key.duration,fixation.started,fixation_cross.started,fixation.stopped,time_condition,odd_out_routine.started,word_one.started,word_two.started,word_three.started,key_resp_2.started,odd_out_routine.stopped,trials_2.key_resp_2.keys,fixation_cross.stopped,trials_2.key_resp_2.rt,trials_2.key_resp_2.duration,word_one.stopped,word_two.stopped,word_three.stopped,key_resp_2.stopped,instruction.started,text.started,instruction.stopped,cc.started,text_countdown.started,cc.stopped,fixation_2.started,fixation_cross_2.started,fixation_2.stopped,odd_out_routine_2.started,word_one_2.started,word_two_2.started,word_three_2.started,key_resp_3.started,odd_out_routine_2.stopped,trials.key_resp_3.keys,trials.key_resp_3.rt,trials.key_resp_3.duration,fixation_cross_2.stopped,EndInstruction.started,text_2.started,text_2.stopped,EndInstruction.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,0.005699039000319317,0.020821578000322916,0.020821578000322916,1.7628459709994786,space,1.5223064929996326,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
dog,car,cat,2,easy,0,0,0,None,,,,,,0,0,0,0,,,,,1.7959609989993623,,,,,,,,,1.7740583479971974,1.7959609989993623,2.2715074799998547,Pressure,2.2789613860004465,2.2885973079974065,2.2885973079974065,2.2885973079974065,2.2885973079974065,4.246189825000329,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
apple,banana,pencil,3,easy,1,1,0,3,0.965779095000471,None,,,,0,1,1,3,,,,,4.255293357997289,,,,,,,,,4.246653244998015,4.255293357997289,4.740547936999064,Pressure,4.750129503998323,4.772744214998966,4.772744214998966,4.772744214998966,4.772744214998966,5.739786879999883,3,4.756147060998046,0.965779095000471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
rose,daisy,chair,3,medium,2,2,0,3,1.5348561700011487,None,,,,0,2,2,1,,,,,5.7452125909985625,,,,,,,,,5.7399721539986786,5.7452125909985625,6.229651673998887,Pressure,6.240343850997306,6.247994551999,6.247994551999,6.247994551999,6.247994551999,7.789405378000083,3,6.247994551999,1.5348561700011487,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
car,bus, aeroplane,3,medium,3,3,0,None,,,,,,0,3,3,10,,,,,7.802567822000128,,,,,,,,,7.7895781789993634,7.802567822000128,8.289134020997153,Pressure,8.299465716998384,8.30757298000026,8.30757298000026,8.30757298000026,8.30757298000026,10.272542749997228,None,8.30757298000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
sofa,table,lamp,3,medium,4,4,0,2,1.6084494630013069,None,,,,0,4,4,4,,,,,10.278591516998858,,,,,,,,,10.272926633999305,10.278591516998858,10.76280573099939,Pressure,10.772471710999525,10.788743262997741,10.788743262997741,10.788743262997741,10.788743262997741,12.424615365998761,2,10.777698689998942,1.6084494630013069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
sunflower,winter,rain,1,easy,5,5,0,1,0.798960021998937,None,,,,0,5,5,9,,,,,12.43487624899717,,,,,,,,,12.424806385999545,12.43487624899717,12.92356747499798,Pressure,12.93198477599799,12.939657041999453,12.939657041999453,12.939657041999453,12.939657041999453,13.73984362199917,1,12.939657041999453,0.798960021998937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
cheetah,dolphin,leopard,2,hard,6,6,0,None,,,,,,0,6,6,11,,,,,13.74534445899917,,,,,,,,,13.740024617000017,13.74534445899917,14.229924801999005,Pressure,14.241769108997687,14.249317002999305,14.249317002999305,14.249317002999305,14.249317002999305,16.22330396899997,None,14.249317002999305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
bicycle,apple ,train,2,easy,7,7,0,3,1.693798855998466,None,,,,0,7,7,6,,,,,16.229519567998068,,,,,,,,,16.22373969199907,16.229519567998068,16.712380296998163,Pressure,16.722762924000563,16.73855666899908,16.73855666899908,16.73855666899908,16.73855666899908,18.43969963699783,3,16.727880294998613,1.693798855998466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
square,rectangle ,triangle,3,medium,8,8,0,3,1.4409313450014452,None,,,,0,8,8,13,,,,,18.449440585998673,,,,,,,,,18.439872126997216,18.449440585998673,18.93909939600053,Pressure,18.950192776999756,18.958139599999413,18.958139599999413,18.958139599999413,18.958139599999413,20.40596321299745,3,18.958139599999413,1.4409313450014452,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
trumpet ,flute,violin,3,hard,9,9,0,1,1.4542673079995438,None,,,,0,9,9,8,,,,,20.414043384997058,,,,,,,,,20.406142370000453,20.414043384997058,20.906500536999374,Pressure,20.91646938699705,20.92381987999761,20.92381987999761,20.92381987999761,20.92381987999761,22.380011900997488,1,,1.4542673079995438,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
cat,dog,lion,2,hard,10,10,0,None,,,,,,0,10,10,2,,,,,22.388174870000512,,,,,,,,,22.38019302400062,22.388174870000512,22.87357848299871,Pressure,22.880711180998333,22.888418214999547,22.888418214999547,22.888418214999547,22.888418214999547,24.872376095998334,None,22.888418214999547,,,24.87846844699743,24.87846844699743,24.87846844699743,24.87846844699743,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
fish,bird,shark,2,medium,11,11,0,2,1.3023657769990677,None,,,,0,11,11,7,,,,,24.87846844699743,,,,,,,,,24.872747501998674,24.87846844699743,25.363212079999357,Pressure,25.374781272999826,25.382325181999477,25.382325181999477,25.382325181999477,25.382325181999477,26.689621656998497,2,25.382325181999477,1.3023657769990677,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
sun,book,moon,2,easy,12,12,0,2,1.6115039980031725,None,,,,0,12,12,12,,,,,26.697551556997496,,,,,,,,,26.689799581999978,26.697551556997496,27.189466269999684,Pressure,27.19700602699959,27.204819962997135,27.204819962997135,27.204819962997135,27.204819962997135,28.822430481999618,2,27.204819962997135,1.6115039980031725,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
pluto,earth,mars,1,hard,13,13,0,None,,,,,,0,13,13,5,,,,,28.83067318599933,,,,,,,,,28.822730839998258,28.83067318599933,29.32283752299918,Pressure,29.331057855997642,29.338621959999728,29.338621959999728,29.338621959999728,29.338621959999728,31.305551680998178,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
octopus ,penguin,squid,2,hard,14,14,0,2,0.9201166469974851,None,,,,0,14,14,14,,,,,31.311585858999024,,,,,,,,,31.305936295997526,31.311585858999024,31.796241337000538,Pressure,31.807618958999228,31.83809524299795,31.83809524299795,31.83809524299795,31.83809524299795,32.76254049899944,2,31.813787761999265,0.9201166469974851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.762672215998464,32.78844318799747,37.77250404000006,,,,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77256617999956,37.78907177899964,42.772759363997466,,,,,,,,,,,,,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
fish,bird,shark,2,medium,0,0,0,,,,2,2.6186916810002003,None,,,,,0,0,0,7,42.79591685199921,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,42.788945125998,42.79591685199921,43.26366638199761,43.27279972699762,43.28328684299777,43.28328684299777,43.28328684299777,43.28328684299777,45.906279609000194,2,2.6186916810002003,None,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
pluto,earth,mars,1,hard,1,1,0,,,,2,4.631721093002852,None,,,,,0,1,1,5,45.91541666699777,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,45.906484561997786,45.91541666699777,46.40658572399843,46.415335383997444,46.42291663599826,46.42291663599826,46.42291663599826,46.42291663599826,51.05590409299839,2,4.631721093002852,None,46.42291663599826,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
cheetah,dolphin,leopard,2,hard,2,2,0,,,,2,3.0476480319994153,None,,,,,0,2,2,11,51.061319537999225,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,51.05610249899837,51.061319537999225,51.545808079998096,51.557034386998566,51.56461376899824,51.56461376899824,51.56461376899824,51.56461376899824,54.62245714799792,2,3.0476480319994153,None,51.56461376899824,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
octopus ,penguin,squid,2,hard,3,3,0,,,,2,3.265600513001118,None,,,,,0,3,3,14,54.63057504199969,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,54.62264010599756,54.63057504199969,55.12269501799892,55.1320693939997,55.139452089999395,55.139452089999395,55.139452089999395,55.139452089999395,58.412376289998065,2,3.265600513001118,None,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
trumpet ,flute,violin,3,hard,4,4,0,,,,3,3.722102777002874,None,,,,,0,4,4,8,58.42225788599899,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,58.41256268500001,58.42225788599899,58.90533937299915,58.915585167000245,58.92298598100024,58.92298598100024,58.92298598100024,58.92298598100024,62.655114622997644,3,3.722102777002874,None,58.92298598100024,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
dog,car,cat,2,easy,5,5,0,,,,2,2.7587395590016968,None,,,,,0,5,5,0,62.66311333200065,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,62.65529599000001,62.66311333200065,63.17118834699795,63.178869900999416,63.18804592399829,63.18804592399829,63.18804592399829,63.18804592399829,65.95586776199707,2,2.7587395590016968,None,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
sun,book,moon,2,easy,6,6,0,,,,2,3.2404271400009748,None,,,,,0,6,6,12,65.96379997599797,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,65.95606187999874,65.96379997599797,66.45594700699803,66.46368510200045,66.47209372100042,66.47209372100042,66.47209372100042,66.47209372100042,69.72235213800013,2,3.2404271400009748,None,66.47209372100042,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
sunflower,winter,rain,1,easy,7,7,0,,,,1,2.584731199000089,None,,,,,0,7,7,9,69.73042209699997,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,69.7225378999974,69.73042209699997,70.2223075289985,70.2321331359999,70.23980416799895,70.23980416799895,70.23980416799895,70.23980416799895,72.82967137699961,1,2.584731199000089,None,70.23980416799895,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
apple,banana,pencil,3,easy,8,8,0,,,,3,2.4652729080007703,None,,,,,0,8,8,3,72.83978497999851,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,72.82999408400065,72.83978497999851,73.33845812899744,73.344037810999,73.35244022500046,73.35244022500046,73.35244022500046,73.35244022500046,75.82344910599932,3,2.4652729080007703,None,,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
square,rectangle ,triangle,3,medium,9,9,0,,,,3,6.530615620999015,None,,,,,0,9,9,13,75.83170188099757,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,75.823662969,75.83170188099757,76.3215989700002,76.3318940049976,76.33979809499942,76.33979809499942,76.33979809499942,76.33979809499942,82.87223396599802,3,6.530615620999015,None,76.33979809499942,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
sofa,table,lamp,3,medium,10,10,0,,,,2,5.199162081000395,None,,,,,0,10,10,4,82.87898879299973,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,82.8724222790006,82.87898879299973,83.36213509299705,83.37261973500063,83.38043935599853,83.38043935599853,83.38043935599853,83.38043935599853,88.58834080799716,2,5.199162081000395,None,83.38043935599853,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
car,bus, aeroplane,3,medium,11,11,0,,,,3,5.164804517997254,None,,,,,0,11,11,10,88.59739011899728,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,88.58852144499906,88.59739011899728,89.08844939899791,89.09580382000058,89.10346292899703,89.10346292899703,89.10346292899703,89.10346292899703,94.27188662099798,3,5.164804517997254,None,89.10346292899703,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
cat,dog,lion,2,hard,12,12,0,,,,2,5.625208931000088,None,,,,,0,12,12,2,94.28121511199788,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,94.27207624999937,94.28121511199788,94.77120413800003,94.77839943199797,94.78610616099832,94.78610616099832,94.78610616099832,94.78610616099832,100.4218842549999,2,5.625208931000088,None,94.78610616099832,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
bicycle,apple ,train,2,easy,13,13,0,,,,2,4.557958536999649,None,,,,,0,13,13,6,100.4299375390001,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,100.42207390899785,100.4299375390001,100.9212444679979,100.93027026599884,100.93778053399728,100.93778053399728,100.93778053399728,100.93778053399728,105.50516782499835,2,4.557958536999649,None,100.93778053399728,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
rose,daisy,chair,3,medium,14,14,0,,,,3,1.0442873690008128,None,,,,,0,14,14,1,105.51561588500044,,,,,,,,,,,,No Pressure,,,,,,,,,,,,,,,,,,,,,105.50536310499956,105.51561588500044,106.00415494700064,106.01206295500015,106.02104235399747,106.02104235399747,106.02104235399747,106.02104235399747,107.07230501899903,3,1.0442873690008128,None,106.02104235399747,,,,,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.07243892099723,107.08216197699949,109.07608058299957,109.07096384099714,009781,001,2024-12-06_11h05.38.061,OddOneOut_Experiment,2024.2.1,89.83143140732578,2024-12-06 11h05.48.612014 +0530,
